level,nx,ny,nz,dx,total_cells,drag_N,lift_N,Cd,Cl,converged,drag_drift_pct,drag_std_N,yplus_avg,yplus_max,max_non_ortho,max_skewness,cap_hit,status,mesh_time_s,solve_time_s,runtime_s,job
1,25,8,17,1.2,791793,1420.181128014107,-3.2652904648001546,0.1247686913560483,-0.0002868690550480623,True,0.03278338963015774,0.15330914585449526,162.9870016864217,2929.431690482957,,3.07017581063391,False,ok,41.3,1593.1,1637.0,grid_L1_48ba50
2,35,12,23,0.85714,1427400,1422.8340091733635,0.8469822367707676,0.12500175776147673,7.441083619487274e-05,True,-0.03686850975858665,0.1656131518872012,111.9785409529692,2153.860676951674,,2.43882277443455,False,ok,61.9,4249.4,4315.4,grid_L2_66309e
3,45,15,30,0.66667,1930182,1417.6193356908657,0.33463340734352787,0.1245436274755391,2.9398906586408804e-05,True,-0.056816282680841594,0.23930661524372618,95.2030700659366,1769.976039088668,,2.43650162335158,False,ok,152.3,7676.2,7836.7,grid_L3_d2c09c
4,60,20,40,0.5,2957711,1396.8681353381269,0.8889417122023676,0.12272055007998264,7.809714686068736e-05,True,-0.03734903865262156,0.15952237647661702,71.69174620844383,1141.989619121624,,3.43130250663674,False,ok,103.7,16668.0,16779.3,grid_L4_6b3b4a
5,75,25,50,0.4,4284410,1330.7394754913068,0.9581133212345527,0.11691087820963866,8.417415419988937e-05,True,-0.0393502707756523,0.1570063594082488,54.54837192859067,921.8722289621084,,3.44251757968108,False,ok,117.5,28211.3,28339.4,grid_L5_a7a8ea
